Zip_Code,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
01266,MA,216754,224021,247545,300884,339749,361747,387289,406908,380660,354023,357854,330328,341322,360717,360038,368171,365398,372929,387505,394075,431603,526150,604090,665024,677035,690861
01267,MA,186532,198278,226711,239045,268838,302830,316653,323221,307935,280693,283526,268515,274827,283139,281499,285168,284523,294752,309750,319482,349296,401453,440906,471032,481546,487384
01270,MA,102265,113468,116491,124897,147067,161218,157125,175288,180004,178618,176609,160300,166983,167200,170227,177177,183587,194135,202814,215010,240257,273722,304869,333943,334409,339777
01301,MA,123000,134498,150805,156346,174588,196067,209797,209654,208908,200797,199541,177042,172012,175006,178853,182506,186149,193197,200793,209908,230264,262498,288670,308526,328659,330765
01330,MA,,,,,,,,,,250136,245591,219700,216061,223468,230291,237448,239513,256607,262979,267227,302098,331510,360676,388132,412436,412743
01331,MA,102557,118321,136400,161820,173799,190380,186925,176525,157373,140764,136856,121272,115741,126504,137548,144222,153573,168713,181668,194575,224634,256482,282207,310546,335881,338130
01337,MA,147034,161160,182367,190217,212587,229960,254518,255296,254143,241374,234048,207214,203753,211717,213343,221522,222810,234619,242563,249688,285315,319718,342198,362903,386849,376104
01338,MA,160736,174303,196066,201119,223105,231904,233106,231010,230387,219196,217735,193027,188120,196109,197082,201349,204985,214376,220621,231390,262334,297651,323094,331512,354692,353751
01339,MA,138584,151508,174199,191914,209898,215554,214610,213783,216415,210404,210644,186392,184192,187205,189827,197854,201071,211278,215001,222238,248034,271067,300907,323918,342264,330624
01340,MA,120350,131220,147012,152975,169700,191934,206278,204412,202699,190260,186899,165506,158396,161826,169883,175322,178280,186435,190643,202482,230026,252907,276780,299659,313609,302870
01341,MA,173650,192589,217577,223580,248624,292280,303512,302017,303634,291235,289039,258084,252913,262095,263893,271500,270532,285056,291146,295368,317331,357063,388619,418834,438702,437390
01342,MA,165605,183046,206001,210936,239481,274176,291853,292135,291625,282642,276457,249077,236070,243371,252651,261639,262004,278112,281234,291769,322889,356819,385536,411230,432004,434724
01344,MA,109906,122137,139741,148865,168360,202437,205610,205950,203956,195575,195113,173672,174968,177599,181606,186586,194627,203304,210667,220783,238844,269234,295462,310626,331498,324182
01346,MA,77556,84290,97115,107532,101830,100434,112393,111505,111039,109263,108170,95752,90831,90111,95855,100935,99548,104305,106397,109041,120235,127355,138810,147767,155704,154165
01349,MA,112516,124004,140908,146701,148332,179714,181858,181415,180102,171904,171751,153321,148423,153146,155556,161659,165273,176079,184229,190731,212590,238789,270406,292567,318533,316974
